Plant ID,Birth Time,Death Time,Life Time,Generation,Growth Rate
0,0,-1,-1,0,0.001666667
1,0,411,411,0,0.001666667
2,0,981,981,0,0.001666667
3,0,808,808,0,0.001666667
4,0,63,63,0,0.001666667
5,0,-1,-1,0,0.001666667
6,0,-1,-1,0,0.001666667
7,0,248,248,0,0.001666667
8,0,-1,-1,0,0.001666667
9,0,-1,-1,0,0.001666667
10,0,-1,-1,0,0.001666667
11,0,1896,1896,0,0.001666667
12,0,781,781,0,0.001666667
13,0,1312,1312,0,0.001666667
14,0,1493,1493,0,0.001666667
15,0,1719,1719,0,0.001666667
16,0,-1,-1,0,0.001666667
17,0,-1,-1,0,0.001666667
18,0,-1,-1,0,0.001666667
19,0,-1,-1,0,0.001666667
20,0,-1,-1,0,0.001666667
21,0,-1,-1,0,0.001666667
22,0,1728,1728,0,0.001666667
23,0,-1,-1,0,0.001666667
24,0,-1,-1,0,0.001666667
25,19,1124,1105,1,0.001680672
26,72,149,77,1,0.001675042
27,79,-1,-1,1,0.001203369
28,138,352,214,1,0.001322751
29,144,-1,-1,1,0.001503759
30,218,-1,-1,1,0.002057613
31,239,585,346,1,0.001926782
32,306,959,653,1,0.002724796
33,326,-1,-1,1,0.001317523
34,367,-1,-1,1,0.002053388
35,414,-1,-1,1,0.00295858
36,496,1147,651,1,0.001824818
37,496,2135,1639,1,0.001329787
38,532,-1,-1,1,0.002272727
39,576,699,123,1,0.001883239
40,629,1270,641,2,0.001538462
41,680,-1,-1,2,0.001404494
42,744,-1,-1,2,0.001824818
43,802,-1,-1,1,0.001669449
44,811,-1,-1,2,0.001782531
45,875,-1,-1,1,0.001234568
46,931,-1,-1,2,0.001297017
47,974,-1,-1,1,0.002012072
48,1023,-1,-1,1,0.002688172
49,1106,-1,-1,2,0.001432665
50,1127,-1,-1,2,0.004
51,1135,-1,-1,1,0.001945525
52,1139,1817,678,1,0.003134796
53,1166,1971,805,1,0.003021148
54,1186,-1,-1,1,0.002347418
55,1231,1392,161,3,0.001455604
56,1299,-1,-1,3,0.002487562
57,1300,-1,-1,2,0.001745201
58,1338,-1,-1,1,0.001579779
59,1399,-1,-1,1,0.001172333
60,1561,-1,-1,3,0.007042253
61,1565,-1,-1,2,0.001636661
62,1568,-1,-1,1,0.001605136
63,1573,-1,-1,2,0.002444988
64,1685,-1,-1,2,0.001127396
65,1690,-1,-1,3,0.002304147
66,1696,-1,-1,1,0.001347709
67,1771,2085,314,2,0.00304878
68,1819,-1,-1,4,0.01041667
69,1857,1943,86,2,0.001342282
70,1867,-1,-1,3,0.001062699
71,1956,-1,-1,5,0.01265823
72,1994,-1,-1,2,0.001901141
73,2004,-1,-1,3,0.00462963
74,2013,-1,-1,1,0.001261034
75,2060,-1,-1,3,0.001677852
76,2068,-1,-1,1,0.00177305
77,2142,-1,-1,5,0.01408451
78,2167,-1,-1,1,0.002949852
79,2235,-1,-1,3,0.001440922
80,2247,-1,-1,2,0.001449275
81,2247,-1,-1,6,0.01587302
