Time,Population,Average Speed,Average Full, Average Smell Distance, Angle Change 
1,1,0.01,10,3, 0.5
2,2,0.007661541,12.02481,2.733983, 0.6148459
3,2,0.007661541,12.02481,2.733983, 0.6148459
4,2,0.007661541,12.02481,2.733983, 0.6148459
5,2,0.007661541,12.02481,2.733983, 0.6148459
6,2,0.007661541,12.02481,2.733983, 0.6148459
7,2,0.007661541,12.02481,2.733983, 0.6148459
8,2,0.007661541,12.02481,2.733983, 0.6148459
9,2,0.007661541,12.02481,2.733983, 0.6148459
10,2,0.007661541,12.02481,2.733983, 0.6148459
11,2,0.007661541,12.02481,2.733983, 0.6148459
12,2,0.007661541,12.02481,2.733983, 0.6148459
13,2,0.007661541,12.02481,2.733983, 0.6148459
14,2,0.007661541,12.02481,2.733983, 0.6148459
15,2,0.007661541,12.02481,2.733983, 0.6148459
16,2,0.007661541,12.02481,2.733983, 0.6148459
17,2,0.007661541,12.02481,2.733983, 0.6148459
18,2,0.007661541,12.02481,2.733983, 0.6148459
19,2,0.007661541,12.02481,2.733983, 0.6148459
20,2,0.007661541,12.02481,2.733983, 0.6148459
21,2,0.007661541,12.02481,2.733983, 0.6148459
22,2,0.007661541,12.02481,2.733983, 0.6148459
23,2,0.007661541,12.02481,2.733983, 0.6148459
24,2,0.007661541,12.02481,2.733983, 0.6148459
25,2,0.007661541,12.02481,2.733983, 0.6148459
26,2,0.007661541,12.02481,2.733983, 0.6148459
27,2,0.007661541,12.02481,2.733983, 0.6148459
28,2,0.007661541,12.02481,2.733983, 0.6148459
29,2,0.007661541,12.02481,2.733983, 0.6148459
30,2,0.007661541,12.02481,2.733983, 0.6148459
31,2,0.007661541,12.02481,2.733983, 0.6148459
32,2,0.007661541,12.02481,2.733983, 0.6148459
33,2,0.007661541,12.02481,2.733983, 0.6148459
34,2,0.007661541,12.02481,2.733983, 0.6148459
35,2,0.007661541,12.02481,2.733983, 0.6148459
36,2,0.007661541,12.02481,2.733983, 0.6148459
37,2,0.007661541,12.02481,2.733983, 0.6148459
38,2,0.007661541,12.02481,2.733983, 0.6148459
39,2,0.007661541,12.02481,2.733983, 0.6148459
40,2,0.007661541,12.02481,2.733983, 0.6148459
41,2,0.007661541,12.02481,2.733983, 0.6148459
42,2,0.007661541,12.02481,2.733983, 0.6148459
43,2,0.007661541,12.02481,2.733983, 0.6148459
44,2,0.007661541,12.02481,2.733983, 0.6148459
45,2,0.007661541,12.02481,2.733983, 0.6148459
46,2,0.007661541,12.02481,2.733983, 0.6148459
47,2,0.007661541,12.02481,2.733983, 0.6148459
48,2,0.007661541,12.02481,2.733983, 0.6148459
49,2,0.007661541,12.02481,2.733983, 0.6148459
50,2,0.007661541,12.02481,2.733983, 0.6148459
51,2,0.007661541,12.02481,2.733983, 0.6148459
52,2,0.007661541,12.02481,2.733983, 0.6148459
53,2,0.007661541,12.02481,2.733983, 0.6148459
54,2,0.007661541,12.02481,2.733983, 0.6148459
55,2,0.007661541,12.02481,2.733983, 0.6148459
56,2,0.007661541,12.02481,2.733983, 0.6148459
57,2,0.007661541,12.02481,2.733983, 0.6148459
58,2,0.007661541,12.02481,2.733983, 0.6148459
59,2,0.007661541,12.02481,2.733983, 0.6148459
60,2,0.007661541,12.02481,2.733983, 0.6148459
61,2,0.007661541,12.02481,2.733983, 0.6148459
62,2,0.007661541,12.02481,2.733983, 0.6148459
63,2,0.007661541,12.02481,2.733983, 0.6148459
64,2,0.007661541,12.02481,2.733983, 0.6148459
65,2,0.007661541,12.02481,2.733983, 0.6148459
66,2,0.007661541,12.02481,2.733983, 0.6148459
67,2,0.007661541,12.02481,2.733983, 0.6148459
68,2,0.007661541,12.02481,2.733983, 0.6148459
69,2,0.007661541,12.02481,2.733983, 0.6148459
70,2,0.007661541,12.02481,2.733983, 0.6148459
71,2,0.007661541,12.02481,2.733983, 0.6148459
72,2,0.007661541,12.02481,2.733983, 0.6148459
73,2,0.007661541,12.02481,2.733983, 0.6148459
74,2,0.007661541,12.02481,2.733983, 0.6148459
75,2,0.007661541,12.02481,2.733983, 0.6148459
76,2,0.007661541,12.02481,2.733983, 0.6148459
77,2,0.007661541,12.02481,2.733983, 0.6148459
78,2,0.007661541,12.02481,2.733983, 0.6148459
79,2,0.007661541,12.02481,2.733983, 0.6148459
80,2,0.007661541,12.02481,2.733983, 0.6148459
81,2,0.007661541,12.02481,2.733983, 0.6148459
82,2,0.007661541,12.02481,2.733983, 0.6148459
83,2,0.007661541,12.02481,2.733983, 0.6148459
84,2,0.007661541,12.02481,2.733983, 0.6148459
85,2,0.007661541,12.02481,2.733983, 0.6148459
86,2,0.007661541,12.02481,2.733983, 0.6148459
87,2,0.007661541,12.02481,2.733983, 0.6148459
88,2,0.007661541,12.02481,2.733983, 0.6148459
89,2,0.007661541,12.02481,2.733983, 0.6148459
90,2,0.007661541,12.02481,2.733983, 0.6148459
91,2,0.007661541,12.02481,2.733983, 0.6148459
92,2,0.007661541,12.02481,2.733983, 0.6148459
93,2,0.007661541,12.02481,2.733983, 0.6148459
94,2,0.007661541,12.02481,2.733983, 0.6148459
95,2,0.007661541,12.02481,2.733983, 0.6148459
96,2,0.007661541,12.02481,2.733983, 0.6148459
97,2,0.007661541,12.02481,2.733983, 0.6148459
98,2,0.007661541,12.02481,2.733983, 0.6148459
99,2,0.007661541,12.02481,2.733983, 0.6148459
100,2,0.007661541,12.02481,2.733983, 0.6148459
101,2,0.007661541,12.02481,2.733983, 0.6148459
102,2,0.007661541,12.02481,2.733983, 0.6148459
103,2,0.007661541,12.02481,2.733983, 0.6148459
104,2,0.007661541,12.02481,2.733983, 0.6148459
105,2,0.007661541,12.02481,2.733983, 0.6148459
106,2,0.007661541,12.02481,2.733983, 0.6148459
107,2,0.007661541,12.02481,2.733983, 0.6148459
108,2,0.007661541,12.02481,2.733983, 0.6148459
109,2,0.007661541,12.02481,2.733983, 0.6148459
110,2,0.007661541,12.02481,2.733983, 0.6148459
111,2,0.007661541,12.02481,2.733983, 0.6148459
112,2,0.007661541,12.02481,2.733983, 0.6148459
113,2,0.007661541,12.02481,2.733983, 0.6148459
114,2,0.007661541,12.02481,2.733983, 0.6148459
115,2,0.007661541,12.02481,2.733983, 0.6148459
116,2,0.007661541,12.02481,2.733983, 0.6148459
117,2,0.007661541,12.02481,2.733983, 0.6148459
118,2,0.007661541,12.02481,2.733983, 0.6148459
119,2,0.007661541,12.02481,2.733983, 0.6148459
120,2,0.007661541,12.02481,2.733983, 0.6148459
121,2,0.007661541,12.02481,2.733983, 0.6148459
122,2,0.007661541,12.02481,2.733983, 0.6148459
123,2,0.007661541,12.02481,2.733983, 0.6148459
124,2,0.007661541,12.02481,2.733983, 0.6148459
125,2,0.007661541,12.02481,2.733983, 0.6148459
126,2,0.007661541,12.02481,2.733983, 0.6148459
127,2,0.007661541,12.02481,2.733983, 0.6148459
128,2,0.007661541,12.02481,2.733983, 0.6148459
129,2,0.007661541,12.02481,2.733983, 0.6148459
130,2,0.007661541,12.02481,2.733983, 0.6148459
131,2,0.007661541,12.02481,2.733983, 0.6148459
132,2,0.007661541,12.02481,2.733983, 0.6148459
133,2,0.007661541,12.02481,2.733983, 0.6148459
134,2,0.007661541,12.02481,2.733983, 0.6148459
135,2,0.007661541,12.02481,2.733983, 0.6148459
136,2,0.007661541,12.02481,2.733983, 0.6148459
137,2,0.007661541,12.02481,2.733983, 0.6148459
138,2,0.007661541,12.02481,2.733983, 0.6148459
139,2,0.007661541,12.02481,2.733983, 0.6148459
140,2,0.007661541,12.02481,2.733983, 0.6148459
141,2,0.007661541,12.02481,2.733983, 0.6148459
142,2,0.007661541,12.02481,2.733983, 0.6148459
143,2,0.007661541,12.02481,2.733983, 0.6148459
144,2,0.007661541,12.02481,2.733983, 0.6148459
145,2,0.007661541,12.02481,2.733983, 0.6148459
146,2,0.007661541,12.02481,2.733983, 0.6148459
147,2,0.007661541,12.02481,2.733983, 0.6148459
148,2,0.007661541,12.02481,2.733983, 0.6148459
149,2,0.007661541,12.02481,2.733983, 0.6148459
150,2,0.007661541,12.02481,2.733983, 0.6148459
151,2,0.007661541,12.02481,2.733983, 0.6148459
152,2,0.007661541,12.02481,2.733983, 0.6148459
153,2,0.007661541,12.02481,2.733983, 0.6148459
154,2,0.007661541,12.02481,2.733983, 0.6148459
155,2,0.007661541,12.02481,2.733983, 0.6148459
156,2,0.007661541,12.02481,2.733983, 0.6148459
157,2,0.007661541,12.02481,2.733983, 0.6148459
158,2,0.007661541,12.02481,2.733983, 0.6148459
159,2,0.007661541,12.02481,2.733983, 0.6148459
160,2,0.007661541,12.02481,2.733983, 0.6148459
161,2,0.007661541,12.02481,2.733983, 0.6148459
162,2,0.007661541,12.02481,2.733983, 0.6148459
163,2,0.007661541,12.02481,2.733983, 0.6148459
164,2,0.007661541,12.02481,2.733983, 0.6148459
165,2,0.007661541,12.02481,2.733983, 0.6148459
166,2,0.007661541,12.02481,2.733983, 0.6148459
167,2,0.007661541,12.02481,2.733983, 0.6148459
168,2,0.007661541,12.02481,2.733983, 0.6148459
169,2,0.007661541,12.02481,2.733983, 0.6148459
170,2,0.007661541,12.02481,2.733983, 0.6148459
171,2,0.007661541,12.02481,2.733983, 0.6148459
172,2,0.007661541,12.02481,2.733983, 0.6148459
173,2,0.007661541,12.02481,2.733983, 0.6148459
174,2,0.007661541,12.02481,2.733983, 0.6148459
175,2,0.007661541,12.02481,2.733983, 0.6148459
176,2,0.007661541,12.02481,2.733983, 0.6148459
177,2,0.007661541,12.02481,2.733983, 0.6148459
178,2,0.007661541,12.02481,2.733983, 0.6148459
179,2,0.007661541,12.02481,2.733983, 0.6148459
180,2,0.007661541,12.02481,2.733983, 0.6148459
181,2,0.007661541,12.02481,2.733983, 0.6148459
182,2,0.007661541,12.02481,2.733983, 0.6148459
183,2,0.007661541,12.02481,2.733983, 0.6148459
184,2,0.007661541,12.02481,2.733983, 0.6148459
185,2,0.007661541,12.02481,2.733983, 0.6148459
186,2,0.007661541,12.02481,2.733983, 0.6148459
187,2,0.007661541,12.02481,2.733983, 0.6148459
188,2,0.007661541,12.02481,2.733983, 0.6148459
