Creature ID,Birth Time,Death Time,Life Time,Generation,Speed,Smell Radius,Full,Angle Change
0,0,9141,9141,0,0.01,3,10,0.5
1,1,2200,2199,1,0.01718009,3.671639,8.126643,0.5338844
2,438,2902,2464,2,0.01796688,4.371847,9.837933,0.430017
3,1600,5589,3989,1,0.005518355,1.682397,13.69551,0.5697999
4,2727,8833,6106,1,0.006612896,4.448099,11.75056,0.4913063
5,5916,13917,8001,1,0.005604814,3.295448,9.540484,0.5861649
6,6939,8134,1195,1,0.01434311,1.593017,5.134609,0.5663702
7,6997,8641,1644,2,0.009650582,1.917437,5.503426,0.6731367
8,7126,9437,2311,2,0.008309496,4.365097,4.860718,0.3108036
9,7182,9589,2407,3,0.0040043,2.849146,6.760413,0.4067218
10,7484,9542,2058,2,0.01698118,1.593827,3.033484,0.2913617
11,7544,7746,202,3,0.0228957,1.614924,2.5348,0.2602997
12,7634,8790,1156,4,0.02604967,2.248379,1.843845,0.2675794
13,7642,10462,2820,3,0.01136431,2.935449,6.628966,0.4589542
14,7663,7710,47,5,0.0417047,1.348139,1.519451,0.1900514
15,7839,8338,499,3,0.0155469,2.288561,4.802941,0.5613722
16,7879,8276,397,5,0.01120942,2.946424,1.572487,0.2730082
17,7920,8087,167,6,0.01106568,2.419384,2.101925,0.2782515
18,7962,8050,88,5,0.02292412,2.479177,2.37556,0.3768823
19,8043,8277,234,5,0.0219572,2.606347,2.577393,0.30601
20,8108,8553,445,6,0.007559266,4.405101,2.342717,0.2356979
21,8121,8301,180,5,0.0221592,1.133125,2.064883,0.2210646
22,8147,9265,1118,6,0.04489947,2.05278,3.56417,0.2032961
23,8219,8514,295,7,0.008567126,4.251159,1.980804,0.1245014
24,8247,8504,257,5,0.03274518,2.128667,1.780123,0.3635097
25,8257,8330,73,6,0.03241273,2.942943,1.626651,0.3512087
26,8260,8597,337,7,0.01750334,1.657947,4.251664,0.3014774
27,8277,8391,114,7,0.03255587,1.973137,1.019882,0.3202687
28,8288,8368,80,8,0.01967956,1.93426,0.700959,0.2361079
29,8289,8352,63,9,0.01323829,2.792236,0.5507843,0.1442548
30,8301,8394,93,9,0.02024933,2.712126,1.019135,0.149749
31,8320,8393,73,8,0.01826338,2.461836,1.415147,0.3302971
32,8321,8447,126,10,0.03042286,3.243395,1.300607,0.1151549
33,8338,9687,1349,5,0.0139236,3.143288,2.579902,0.2689469
34,8352,9576,1224,7,0.0238785,1.22357,4.354567,0.1671143
35,8357,8385,28,8,0.03989185,2.654529,0.8745629,0.1705789
36,8371,8695,324,6,0.05093445,1.770463,1.611571,0.2228215
37,8391,8479,88,11,0.01917707,3.747679,1.842032,0.1716914
38,8446,8488,42,6,0.06578147,2.324723,0.9085511,0.241984
39,8447,15785,7338,4,0.01119045,2.773177,8.594455,0.2599564
40,8459,8493,34,7,0.056458,0.8904554,1.674226,0.2513362
41,8469,8503,34,7,0.1343286,1.723198,0.6874407,0.3485753
42,8479,8512,33,8,0.03803027,1.622229,0.4472822,0.4429322
43,8482,9016,534,6,0.0133613,3.320223,1.523335,0.2114092
44,8487,8496,9,8,0.1223564,1.491965,0.6551371,0.4956382
45,8493,8553,60,7,0.035299,1.546775,1.651693,0.1534181
46,8495,8509,14,8,0.07526675,1.826706,0.7584349,0.2694678
47,8495,8540,45,9,0.02650591,1.841779,0.574283,0.4042615
48,8496,8520,24,9,0.02460725,2.028333,0.4904869,0.3191756
49,8543,8685,142,7,0.01489344,4.156,2.275109,0.1927406
50,8544,8686,142,7,0.03730777,2.646692,2.241769,0.2054404
51,8566,8865,299,8,0.01481634,2.191079,3.246857,0.1586716
52,8569,8586,17,7,0.06832162,2.644785,0.9912004,0.1533389
53,8570,8588,18,8,0.06220073,3.153471,1.04154,0.1889141
54,8602,8754,152,6,0.01762011,2.083117,3.801021,0.2911565
55,8604,8872,268,7,0.01363014,1.915127,2.242722,0.1677633
56,8619,9006,387,7,0.05810201,2.068704,1.609494,0.2539917
57,8625,11210,2585,8,0.02286194,1.533289,3.78884,0.1346522
58,8626,8766,140,5,0.01613941,2.738497,1.165327,0.2260203
59,8677,8771,94,7,0.04148461,1.304744,5.0736,0.1065722
60,8678,8787,109,8,0.07816938,2.817826,1.225893,0.2926316
61,8691,8742,51,9,0.07292955,2.416729,1.317188,0.3271335
62,8724,8775,51,9,0.06584598,2.226269,0.9353727,0.3568863
63,8726,8960,234,7,0.01049951,4.678757,1.451328,0.1597212
64,8726,9023,297,8,0.09668633,2.014148,2.191786,0.1384913
65,8737,8752,15,9,0.09333693,2.857188,1.598438,0.2033731
66,8738,8758,20,10,0.1157288,2.644709,1.097638,0.3018878
67,8746,8755,9,11,0.16865,1.842695,0.9215766,0.2397205
68,8759,8793,34,10,0.05673349,2.920959,1.098969,0.1820437
