Plant ID,Birth Time,Death Time,Life Time,Generation,Growth Rate
0,0,330,330,0,0.001666667
1,0,1050,1050,0,0.001666667
2,0,27,27,0,0.001666667
3,0,1838,1838,0,0.001666667
4,0,640,640,0,0.001666667
5,0,902,902,0,0.001666667
6,0,1019,1019,0,0.001666667
7,0,938,938,0,0.001666667
8,0,1682,1682,0,0.001666667
9,0,23,23,0,0.001666667
10,0,849,849,0,0.001666667
11,0,1039,1039,0,0.001666667
12,0,361,361,0,0.001666667
13,0,1441,1441,0,0.001666667
14,0,165,165,0,0.001666667
15,0,1182,1182,0,0.001666667
16,0,605,605,0,0.001666667
17,0,1964,1964,0,0.001666667
18,0,1245,1245,0,0.001666667
19,0,2394,2394,0,0.001666667
20,0,1139,1139,0,0.001666667
21,0,77,77,0,0.001666667
22,0,291,291,0,0.001666667
23,0,785,785,0,0.001666667
24,0,146,146,0,0.001666667
25,4,544,540,1,0.001639344
26,19,503,484,1,0.001119821
27,36,1809,1773,1,0.0015625
28,80,1307,1227,1,0.001177856
29,140,1599,1459,1,0.00173913
30,162,1491,1329,1,0.002538071
31,182,953,771,1,0.001277139
32,225,1211,986,1,0.001194743
33,251,992,741,1,0.001222494
34,263,437,174,1,0.002222222
35,358,1674,1316,1,0.002173913
36,498,1161,663,1,0.001328021
37,511,2509,1998,1,0.002257336
38,584,992,408,1,0.001766784
39,594,682,88,1,0.002304147
40,619,754,135,1,0.002237136
41,635,2098,1463,1,0.002257336
42,640,3699,3059,2,0.002427184
43,738,1453,715,2,0.001207729
44,762,845,83,1,0.001605136
45,762,1548,786,2,0.003095975
46,770,1390,620,1,0.00234192
47,778,1131,353,1,0.002020202
48,783,6072,5289,2,0.002518892
49,820,1292,472,2,0.001715266
50,965,1593,628,2,0.001547988
51,1090,1282,192,2,0.001204819
52,1112,2726,1614,2,0.002415459
53,1119,2297,1178,1,0.001497006
54,1231,1725,494,1,0.001176471
55,1242,2986,1744,2,0.001886792
56,1289,3925,2636,3,0.002717391
57,1307,1331,24,3,0.001375516
58,1320,2003,683,1,0.001122335
59,1367,7809,6442,2,0.002227172
60,1482,1835,353,3,0.004273504
61,1546,2892,1346,3,0.002237136
62,1562,5817,4255,3,0.002617801
63,1687,3117,1430,3,0.002890173
64,1691,2211,520,2,0.001642036
65,1705,3378,1673,4,0.002403846
66,1804,7395,5591,3,0.002610966
67,1805,1899,94,4,0.006134969
68,1825,1844,19,1,0.001261034
69,1914,2237,323,2,0.0008190008
70,1950,8249,6299,4,0.003355705
71,1970,8952,6982,3,0.001937984
72,2081,3263,1182,5,0.002145923
73,2250,7312,5062,3,0.001618123
74,2253,7181,4928,4,0.002680965
75,2325,8490,6165,1,0.001776199
76,2333,-1,-1,5,0.002375297
77,2376,6205,3829,3,0.001972387
78,2382,2626,244,3,0.001879699
79,2429,4213,1784,4,0.001953125
80,2450,8865,6415,2,0.002016129
81,2520,3465,945,3,0.003164557
82,2621,8159,5538,5,0.005586592
83,2637,-1,-1,6,0.001686341
84,2639,7960,5321,5,0.002197802
85,2698,7874,5176,4,0.00118624
86,2722,5663,2941,4,0.001831502
87,2751,2839,88,3,0.002583979
88,2768,6385,3617,3,0.003663004
89,2778,8007,5229,4,0.00172117
90,2890,8775,5885,4,0.001369863
91,2904,8968,6064,3,0.00245098
92,2909,6290,3381,5,0.005181347
93,2921,3464,543,5,0.002439024
94,2926,6464,3538,2,0.001221001
95,2935,3374,439,3,0.003690037
96,2936,3252,316,4,0.003225806
97,2966,3694,728,6,0.001517451
98,3004,7125,4121,4,0.003773585
99,3051,5325,2274,7,0.001626016
100,3100,5915,2815,4,0.005025126
101,3138,7576,4438,3,0.00155521
102,3208,8346,5138,5,0.002617801
103,3250,5096,1846,5,0.002242153
104,3285,7919,4634,5,0.00128041
105,3325,8356,5031,4,0.00273224
106,3339,3590,251,6,0.002457002
107,3340,3506,166,4,0.003921569
108,3396,9265,5869,4,0.002525253
109,3396,7345,3949,5,0.002538071
110,3399,8817,5418,5,0.002673797
111,3465,6117,2652,6,0.00304878
112,3482,8548,5066,5,0.004366812
113,3570,5007,1437,6,0.001633987
114,3651,5462,1811,8,0.001112347
115,3668,9156,5488,6,0.002762431
116,3672,7737,4065,6,0.008403362
117,3718,6414,2696,4,0.002915452
118,3788,6301,2513,4,0.002188184
119,3799,9239,5440,5,0.001848429
120,3802,9130,5328,4,0.002976191
121,3812,5950,2138,6,0.003891051
122,3814,4050,236,5,0.001538462
123,3859,7878,4019,6,0.001453488
124,3876,8107,4231,5,0.001858736
125,3887,4085,198,4,0.003058104
126,3912,9279,5367,4,0.001605136
127,3926,6613,2687,6,0.002053388
128,3930,6778,2848,5,0.004310345
129,3945,8320,4375,5,0.002242153
130,3991,5743,1752,5,0.003597122
131,4009,5203,1194,6,0.002347418
132,4022,4690,668,7,0.001416431
133,4057,7714,3657,6,0.002724796
134,4058,9176,5118,7,0.002557545
135,4068,8612,4544,2,0.001329787
136,4130,7891,3761,6,0.003521127
137,4151,7643,3492,7,0.01111111
138,4211,9209,4998,5,0.002840909
139,4257,6491,2234,4,0.006622517
140,4262,7432,3170,8,0.01020408
141,4274,6286,2012,9,0.0009451796
142,4303,8338,4035,6,0.002403846
143,4355,7773,3418,8,0.01111111
144,4356,5998,1642,3,0.002136752
145,4421,9194,4773,8,0.003496503
146,4437,7641,3204,9,0.01333333
147,4445,5314,869,6,0.002331002
148,4534,9032,4498,10,0.01694915
149,4535,6111,1576,5,0.01190476
150,4556,9577,5021,6,0.005128205
151,4557,9332,4775,5,0.00340136
152,4600,7530,2930,10,0.01587302
153,4621,9067,4446,4,0.003508772
154,4632,7801,3169,8,0.007633588
155,4640,7788,3148,7,0.001282051
156,4644,4784,140,8,0.001236094
157,4665,9049,4384,11,0.01388889
158,4691,5992,1301,6,0.01724138
159,4727,8287,3560,11,0.03030303
160,4728,8120,3392,12,0.01052632
161,4732,9265,4533,6,0.002197802
162,4733,7961,3228,9,0.01960784
163,4745,8357,3612,6,0.004464286
164,4750,8218,3468,5,0.002109705
