Time,Population,Average Speed,Average Full, Average Smell Distance, Angle Change 
1,1,0.01,10,3, 0.5
2,2,0.01359004,9.063322,3.335819, 0.5169422
3,2,0.01359004,9.063322,3.335819, 0.5169422
4,2,0.01359004,9.063322,3.335819, 0.5169422
5,2,0.01359004,9.063322,3.335819, 0.5169422
6,2,0.01359004,9.063322,3.335819, 0.5169422
7,2,0.01359004,9.063322,3.335819, 0.5169422
8,2,0.01359004,9.063322,3.335819, 0.5169422
9,2,0.01359004,9.063322,3.335819, 0.5169422
10,2,0.01359004,9.063322,3.335819, 0.5169422
11,2,0.01359004,9.063322,3.335819, 0.5169422
12,2,0.01359004,9.063322,3.335819, 0.5169422
13,2,0.01359004,9.063322,3.335819, 0.5169422
14,2,0.01359004,9.063322,3.335819, 0.5169422
15,2,0.01359004,9.063322,3.335819, 0.5169422
16,2,0.01359004,9.063322,3.335819, 0.5169422
17,2,0.01359004,9.063322,3.335819, 0.5169422
18,2,0.01359004,9.063322,3.335819, 0.5169422
19,2,0.01359004,9.063322,3.335819, 0.5169422
20,2,0.01359004,9.063322,3.335819, 0.5169422
21,2,0.01359004,9.063322,3.335819, 0.5169422
22,2,0.01359004,9.063322,3.335819, 0.5169422
23,2,0.01359004,9.063322,3.335819, 0.5169422
24,2,0.01359004,9.063322,3.335819, 0.5169422
25,2,0.01359004,9.063322,3.335819, 0.5169422
26,2,0.01359004,9.063322,3.335819, 0.5169422
27,2,0.01359004,9.063322,3.335819, 0.5169422
28,2,0.01359004,9.063322,3.335819, 0.5169422
29,2,0.01359004,9.063322,3.335819, 0.5169422
30,2,0.01359004,9.063322,3.335819, 0.5169422
31,2,0.01359004,9.063322,3.335819, 0.5169422
32,2,0.01359004,9.063322,3.335819, 0.5169422
33,2,0.01359004,9.063322,3.335819, 0.5169422
34,2,0.01359004,9.063322,3.335819, 0.5169422
35,2,0.01359004,9.063322,3.335819, 0.5169422
36,2,0.01359004,9.063322,3.335819, 0.5169422
37,2,0.01359004,9.063322,3.335819, 0.5169422
38,2,0.01359004,9.063322,3.335819, 0.5169422
39,2,0.01359004,9.063322,3.335819, 0.5169422
40,2,0.01359004,9.063322,3.335819, 0.5169422
41,2,0.01359004,9.063322,3.335819, 0.5169422
42,2,0.01359004,9.063322,3.335819, 0.5169422
43,2,0.01359004,9.063322,3.335819, 0.5169422
44,2,0.01359004,9.063322,3.335819, 0.5169422
45,2,0.01359004,9.063322,3.335819, 0.5169422
46,2,0.01359004,9.063322,3.335819, 0.5169422
47,2,0.01359004,9.063322,3.335819, 0.5169422
48,2,0.01359004,9.063322,3.335819, 0.5169422
49,2,0.01359004,9.063322,3.335819, 0.5169422
50,2,0.01359004,9.063322,3.335819, 0.5169422
51,2,0.01359004,9.063322,3.335819, 0.5169422
52,2,0.01359004,9.063322,3.335819, 0.5169422
