Plant ID,Birth Time,Death Time,Life Time,Generation,Growth Rate
0,0,-1,-1,0,0.001666667
1,0,-1,-1,0,0.001666667
2,0,-1,-1,0,0.001666667
3,0,-1,-1,0,0.001666667
4,0,-1,-1,0,0.001666667
5,0,-1,-1,0,0.001666667
6,0,-1,-1,0,0.001666667
7,0,-1,-1,0,0.001666667
8,0,-1,-1,0,0.001666667
9,0,-1,-1,0,0.001666667
10,0,-1,-1,0,0.001666667
11,0,-1,-1,0,0.001666667
12,0,-1,-1,0,0.001666667
13,0,-1,-1,0,0.001666667
14,0,-1,-1,0,0.001666667
15,0,-1,-1,0,0.001666667
16,0,-1,-1,0,0.001666667
17,0,-1,-1,0,0.001666667
18,0,-1,-1,0,0.001666667
19,0,-1,-1,0,0.001666667
20,0,-1,-1,0,0.001666667
21,0,-1,-1,0,0.001666667
22,0,-1,-1,0,0.001666667
23,0,-1,-1,0,0.001666667
24,0,-1,-1,0,0.001666667
