Time,Population,Average Speed,Average Full, Average Smell Distance, Angle Change 
1,1,0.01,10,3, 0.5
2,2,0.0123744,8.159216,2.900919, 0.4289784
3,2,0.0123744,8.159216,2.900919, 0.4289784
4,2,0.0123744,8.159216,2.900919, 0.4289784
5,2,0.0123744,8.159216,2.900919, 0.4289784
6,2,0.0123744,8.159216,2.900919, 0.4289784
7,2,0.0123744,8.159216,2.900919, 0.4289784
8,2,0.0123744,8.159216,2.900919, 0.4289784
9,2,0.0123744,8.159216,2.900919, 0.4289784
10,2,0.0123744,8.159216,2.900919, 0.4289784
11,2,0.0123744,8.159216,2.900919, 0.4289784
12,2,0.0123744,8.159216,2.900919, 0.4289784
13,2,0.0123744,8.159216,2.900919, 0.4289784
14,2,0.0123744,8.159216,2.900919, 0.4289784
15,2,0.0123744,8.159216,2.900919, 0.4289784
16,2,0.0123744,8.159216,2.900919, 0.4289784
17,2,0.0123744,8.159216,2.900919, 0.4289784
18,2,0.0123744,8.159216,2.900919, 0.4289784
19,2,0.0123744,8.159216,2.900919, 0.4289784
20,2,0.0123744,8.159216,2.900919, 0.4289784
21,2,0.0123744,8.159216,2.900919, 0.4289784
22,2,0.0123744,8.159216,2.900919, 0.4289784
23,2,0.0123744,8.159216,2.900919, 0.4289784
24,2,0.0123744,8.159216,2.900919, 0.4289784
25,2,0.0123744,8.159216,2.900919, 0.4289784
26,2,0.0123744,8.159216,2.900919, 0.4289784
27,2,0.0123744,8.159216,2.900919, 0.4289784
28,2,0.0123744,8.159216,2.900919, 0.4289784
29,2,0.0123744,8.159216,2.900919, 0.4289784
30,2,0.0123744,8.159216,2.900919, 0.4289784
31,2,0.0123744,8.159216,2.900919, 0.4289784
32,2,0.0123744,8.159216,2.900919, 0.4289784
33,2,0.0123744,8.159216,2.900919, 0.4289784
34,2,0.0123744,8.159216,2.900919, 0.4289784
35,2,0.0123744,8.159216,2.900919, 0.4289784
36,2,0.0123744,8.159216,2.900919, 0.4289784
37,2,0.0123744,8.159216,2.900919, 0.4289784
38,2,0.0123744,8.159216,2.900919, 0.4289784
39,2,0.0123744,8.159216,2.900919, 0.4289784
40,2,0.0123744,8.159216,2.900919, 0.4289784
41,2,0.0123744,8.159216,2.900919, 0.4289784
42,2,0.0123744,8.159216,2.900919, 0.4289784
43,2,0.0123744,8.159216,2.900919, 0.4289784
44,2,0.0123744,8.159216,2.900919, 0.4289784
45,2,0.0123744,8.159216,2.900919, 0.4289784
46,2,0.0123744,8.159216,2.900919, 0.4289784
47,2,0.0123744,8.159216,2.900919, 0.4289784
48,2,0.0123744,8.159216,2.900919, 0.4289784
49,2,0.0123744,8.159216,2.900919, 0.4289784
50,2,0.0123744,8.159216,2.900919, 0.4289784
