Creature ID,Birth Time,Death Time,Life Time,Generation,Speed,Smell Radius,Full,Angle Change
0,0,13275,13275,0,0.01,3,10,0.5
1,1,2434,2433,1,0.007610132,2.023109,9.063523,0.7148098
2,923,3121,2198,2,0.005230374,1.337734,5.633132,0.5238317
3,2359,14784,12425,1,0.004055003,3.84397,11.41572,0.4351045
4,3483,17312,13829,1,0.004629969,2.377227,14.11568,0.4518286
5,4472,9402,4930,1,0.003919715,3.23982,5.397019,0.7066973
6,4720,11661,6941,2,0.001918226,2.102499,6.350403,0.7450712
7,5269,15240,9971,1,0.005961547,3.724967,11.68449,0.3612113
8,5731,7317,1586,2,0.001846023,4.725929,2.873636,0.9316893
9,5732,16430,10698,3,0.0009243952,6.4752,2.551162,1.255198
10,6228,15963,9735,1,0.01199868,3.108127,13.69669,0.492416
11,6439,16224,9785,2,0.003049302,2.203899,13.70452,0.6361368
12,6944,12099,5155,2,0.004313578,2.647637,20.91526,0.385343
13,6986,16458,9472,2,0.005943802,1.66718,7.382625,0.9913924
14,7038,15213,8175,1,0.008191051,3.413726,13.46286,0.6408493
15,7251,14500,7249,2,0.006160333,3.040408,7.383854,0.4211068
16,7306,18150,10844,3,0.001424787,1.920229,4.064449,0.7474437
17,7401,14133,6732,3,0.007088636,2.199703,9.456131,0.3227211
18,7630,14953,7323,2,0.01108194,2.687267,11.0079,0.4073771
19,7845,15378,7533,1,0.01294383,2.964994,13.26615,0.7201374
20,8234,18092,9858,4,0.001878407,2.70329,4.596962,0.89186
21,8436,9496,1060,3,0.007015159,1.51047,9.070622,1.430372
22,8437,12831,4394,3,0.01246009,3.889318,9.992986,0.2497693
23,8774,14730,5956,1,0.007296161,3.042554,14.70415,0.649097
24,9129,13272,4143,2,0.01277609,4.749766,11.96568,0.7317953
25,9134,12261,3127,2,0.01667235,2.241468,13.41979,0.9482754
26,9260,12159,2899,4,0.008479099,4.164004,9.261812,0.3368486
27,9451,15724,6273,2,0.004774264,2.871552,9.247448,0.5321335
28,9630,11090,1460,4,0.00582073,3.010216,5.001,0.2830561
29,9707,13128,3421,1,0.009244242,1.80514,10.64003,0.6818262
30,9749,15116,5367,3,0.005163047,3.331519,16.45685,0.8637328
31,9813,14524,4711,5,0.003699734,3.93608,6.314873,0.3264564
32,9835,13998,4163,3,0.02173148,5.863842,15.79784,0.9156331
33,9916,15557,5641,2,0.00794889,2.32559,12.62176,0.7853158
34,10106,17158,7052,3,0.006535334,1.281566,7.246208,1.172293
35,10254,15529,5275,4,0.007982297,2.672398,12.72956,0.3687907
36,10739,13053,2314,3,0.009661553,2.531075,11.01204,0.8760947
37,10747,16334,5587,2,0.005999538,2.303886,15.71201,0.4922531
38,10829,12828,1999,3,0.02095564,2.197082,13.45943,0.9763313
39,10866,14364,3498,2,0.003647103,0.9313133,7.244947,0.5338963
40,10874,13769,2895,4,0.03750359,5.468827,12.31157,0.471312
41,10981,15036,4055,4,0.0006300336,5.167449,2.423194,1.505128
