Plant ID,Birth Time,Death Time,Life Time,Generation,Growth Rate
0,0,10980,10980,0,0.001666667
1,0,3609,3609,0,0.001666667
2,0,2797,2797,0,0.001666667
3,0,379,379,0,0.001666667
4,0,10105,10105,0,0.001666667
5,0,4077,4077,0,0.001666667
6,0,6438,6438,0,0.001666667
7,0,702,702,0,0.001666667
8,0,1007,1007,0,0.001666667
9,0,2225,2225,0,0.001666667
10,0,83,83,0,0.001666667
11,0,3373,3373,0,0.001666667
12,0,6720,6720,0,0.001666667
13,0,3742,3742,0,0.001666667
14,0,3825,3825,0,0.001666667
15,0,95,95,0,0.001666667
16,0,701,701,0,0.001666667
17,0,837,837,0,0.001666667
18,0,922,922,0,0.001666667
19,0,4304,4304,0,0.001666667
20,0,395,395,0,0.001666667
21,0,3114,3114,0,0.001666667
22,0,1297,1297,0,0.001666667
23,0,9051,9051,0,0.001666667
24,0,258,258,0,0.001666667
25,19,6691,6672,1,0.001234568
26,108,3999,3891,1,0.001136364
27,132,1125,993,1,0.001776199
28,201,1711,1510,1,0.001683502
29,210,605,395,1,0.001412429
30,221,9951,9730,1,0.001216545
31,221,566,345,1,0.001494768
32,229,819,590,1,0.001754386
33,235,5082,4847,1,0.002457002
34,284,4588,4304,1,0.001915709
35,405,13665,13260,1,0.001766784
36,420,9234,8814,1,0.001157407
37,489,3219,2730,1,0.001485884
38,501,3821,3320,1,0.001472754
39,611,7016,6405,2,0.001466276
40,613,12163,11550,1,0.00152439
41,699,7574,6875,2,0.0007980846
42,733,1260,527,2,0.00137741
43,740,1421,681,1,0.001572327
44,806,1816,1010,2,0.001142857
45,813,6985,6172,1,0.002849003
46,821,10594,9773,2,0.0008237232
47,834,1023,189,1,0.002976191
48,835,4835,4000,2,0.003484321
49,879,6828,5949,2,0.001730104
50,983,3556,2573,1,0.00140647
51,995,6218,5223,1,0.00148368
52,1001,6043,5042,2,0.002840909
53,1020,9602,8582,1,0.002150538
54,1026,10425,9399,2,0.001160093
55,1036,6778,5742,1,0.002331002
56,1112,4738,3626,2,0.001094092
57,1162,2911,1749,1,0.002785515
58,1243,8834,7591,2,0.001980198
59,1248,4743,3495,3,0.004901961
60,1350,1541,191,2,0.001084599
61,1393,2358,965,1,0.001222494
62,1410,1907,497,2,0.001360544
63,1413,10241,8828,2,0.005524862
64,1418,7008,5590,2,0.0008583691
65,1422,4787,3365,3,0.001035197
66,1441,7070,5629,1,0.001941748
67,1536,4911,3375,4,0.004926108
68,1572,13690,12118,2,0.001503759
69,1598,12425,10827,2,0.00149925
70,1612,9116,7504,2,0.001470588
71,1644,5268,3624,3,0.001345895
72,1646,6553,4907,2,0.001647446
73,1648,5183,3535,2,0.00173913
74,1652,10735,9083,3,0.0006756757
75,1742,5189,3447,1,0.002645503
76,1757,2462,705,1,0.001445087
77,1765,3395,1630,2,0.001886792
78,1826,6468,4642,3,0.004926108
79,1900,8884,6984,2,0.00152439
80,1900,10821,8921,3,0.001926782
81,1945,4637,2692,4,0.007692308
82,1985,2119,134,1,0.002398082
83,2039,7605,5566,2,0.001408451
84,2085,8421,6336,3,0.002159827
85,2086,6943,4857,3,0.001149425
86,2110,4978,2868,4,0.0009624639
87,2143,4558,2415,4,0.006756757
88,2146,4520,2374,2,0.001416431
89,2226,7422,5196,3,0.0008857396
90,2336,14290,11954,2,0.002040816
91,2343,3657,1314,5,0.01041667
92,2345,4397,2052,5,0.006451613
93,2356,2567,211,2,0.00166113
94,2414,6571,4157,1,0.001589825
95,2439,3301,862,3,0.001858736
96,2493,2703,210,2,0.002331002
97,2524,8015,5491,2,0.002976191
98,2556,4300,1744,6,0.005376344
99,2620,7404,4784,1,0.00155521
100,2646,6282,3636,5,0.007575758
101,2698,10853,8155,3,0.001257862
102,2713,14350,11637,3,0.003891051
103,2713,9103,6390,7,0.004405286
104,2765,8652,5887,3,0.001302083
105,2768,8944,6176,4,0.001818182
106,2771,10664,7893,2,0.0008250825
107,2816,14454,11638,3,0.001054852
108,2842,8088,5246,3,0.0007380074
109,2889,2996,107,1,0.001248439
110,2897,11349,8452,8,0.006535948
111,2899,9199,6300,7,0.003891051
112,2939,5197,2258,3,0.001015228
113,2950,6388,3438,2,0.004545454
114,2966,3053,87,1,0.00149925
115,2974,13677,10703,3,0.001923077
116,2993,8157,5164,2,0.002985075
117,3021,4210,1189,6,0.01086957
118,3096,9283,6187,8,0.003484321
119,3135,7250,4115,9,0.007042253
120,3186,10444,7258,3,0.005847953
121,3209,14575,11366,4,0.005524862
122,3236,8651,5415,4,0.003968254
123,3277,7818,4541,3,0.0009416196
124,3294,10994,7700,4,0.001312336
125,3295,7389,4094,10,0.01052632
126,3296,4424,1128,1,0.001122335
127,3297,9770,6473,2,0.001329787
128,3306,3482,176,5,0.008474576
129,3329,4119,790,2,0.001858736
130,3335,8917,5582,6,0.006060606
131,3357,9294,5937,9,0.003367003
132,3376,13251,9875,2,0.001623377
133,3381,7448,4067,3,0.001305483
134,3394,7221,3827,4,0.001396648
135,3425,11212,7787,4,0.0009057971
136,3428,6176,2748,9,0.01190476
137,3447,7116,3669,11,0.007751938
138,3460,14255,10795,4,0.003508772
139,3489,3551,62,6,0.01075269
140,3551,6949,3398,12,0.005813953
141,3571,7133,3562,4,0.000999001
142,3572,5959,2387,10,0.008333334
143,3612,9364,5752,8,0.007407407
144,3626,10203,6577,3,0.001009082
145,3629,5359,1730,4,0.0009082652
146,3661,5794,2133,11,0.00877193
147,3686,6816,3130,12,0.007874016
148,3692,9363,5671,4,0.002336449
149,3720,3907,187,1,0.001207729
150,3721,7843,4122,11,0.008403362
151,3725,14243,10518,5,0.00409836
152,3726,7793,4067,6,0.006756757
153,3797,5795,1998,3,0.001805054
154,3813,11677,7864,5,0.002057613
155,3851,8808,4957,7,0.008333334
156,3853,4996,1143,1,0.001464129
157,3857,13180,9323,13,0.009433962
158,3859,13701,9842,4,0.002331002
159,3940,7539,3599,12,0.01123596
160,3969,14366,10397,4,0.002808989
161,3980,8435,4455,4,0.001492537
162,3985,4233,248,2,0.001615509
163,3996,5973,1977,8,0.01538462
164,4005,14220,10215,6,0.005291005
165,4011,9387,5376,1,0.001497006
166,4019,14252,10233,5,0.00406504
167,4051,7530,3479,13,0.01204819
168,4086,8233,4147,3,0.0008431703
169,4091,7305,3214,4,0.0006459948
170,4127,5537,1410,9,0.01315789
171,4131,5484,1353,12,0.006410256
172,4132,7705,3573,13,0.008333334
173,4141,7758,3617,3,0.001096491
174,4166,4471,305,5,0.007352941
175,4169,14381,10212,5,0.005714286
176,4177,14315,10138,3,0.00203666
177,4195,8242,4047,5,0.006493506
178,4224,4939,715,4,0.005524862
179,4227,11575,7348,14,0.01538462
180,4228,5398,1170,2,0.002141328
181,4239,5646,1407,14,0.01333333
182,4242,6180,1938,8,0.006493506
183,4247,7263,3016,10,0.01408451
184,4253,14228,9975,6,0.002898551
185,4255,14152,9897,7,0.004115226
186,4259,12683,8424,3,0.001412429
187,4301,8062,3761,12,0.008
188,4343,14432,10089,6,0.0078125
189,4346,7200,2854,3,0.002557545
190,4350,6424,2074,15,0.01538462
191,4354,8237,3883,14,0.007692308
192,4373,10057,5684,8,0.003745318
193,4381,7400,3019,11,0.01694915
194,4404,5360,956,9,0.01960784
195,4428,4719,291,5,0.01282051
196,4428,8370,3942,13,0.008547009
197,4432,6274,1842,16,0.01149425
198,4435,14208,9773,7,0.007407407
199,4441,13987,9546,5,0.001010101
200,4441,7571,3130,6,0.006578947
201,4442,9363,4921,11,0.02702703
202,4445,14405,9960,8,0.002967359
203,4477,7820,3343,14,0.009345794
204,4477,8531,4054,15,0.02564103
205,4488,11911,7423,4,0.001141552
206,4489,9976,5487,3,0.001779359
207,4505,6562,2057,15,0.01408451
208,4512,6326,1814,10,0.01754386
209,4518,7743,3225,4,0.0009523809
210,4528,13725,9197,5,0.001872659
211,4539,10804,6265,16,0.02631579
212,4548,8286,3738,14,0.01204819
213,4560,8681,4121,13,0.006666667
214,4584,5491,907,6,0.008849557
215,4588,7142,2554,7,0.005780347
216,4588,6015,1427,16,0.01754386
217,4602,14276,9674,5,0.005347594
218,4603,6227,1624,17,0.01470588
219,4615,9597,4982,2,0.001404494
220,4634,4884,250,9,0.002976191
