Time,Population,Average Speed,Average Full, Average Smell Distance, Angle Change 
1,1,0.01,10,3, 0.5
2,2,0.008805065,9.531761,2.511554, 0.6074049
3,2,0.008805065,9.531761,2.511554, 0.6074049
4,2,0.008805065,9.531761,2.511554, 0.6074049
5,2,0.008805065,9.531761,2.511554, 0.6074049
6,2,0.008805065,9.531761,2.511554, 0.6074049
7,2,0.008805065,9.531761,2.511554, 0.6074049
8,2,0.008805065,9.531761,2.511554, 0.6074049
9,2,0.008805065,9.531761,2.511554, 0.6074049
10,2,0.008805065,9.531761,2.511554, 0.6074049
11,2,0.008805065,9.531761,2.511554, 0.6074049
12,2,0.008805065,9.531761,2.511554, 0.6074049
13,2,0.008805065,9.531761,2.511554, 0.6074049
14,2,0.008805065,9.531761,2.511554, 0.6074049
15,2,0.008805065,9.531761,2.511554, 0.6074049
16,2,0.008805065,9.531761,2.511554, 0.6074049
17,2,0.008805065,9.531761,2.511554, 0.6074049
18,2,0.008805065,9.531761,2.511554, 0.6074049
19,2,0.008805065,9.531761,2.511554, 0.6074049
20,2,0.008805065,9.531761,2.511554, 0.6074049
21,2,0.008805065,9.531761,2.511554, 0.6074049
22,2,0.008805065,9.531761,2.511554, 0.6074049
23,2,0.008805065,9.531761,2.511554, 0.6074049
24,2,0.008805065,9.531761,2.511554, 0.6074049
25,2,0.008805065,9.531761,2.511554, 0.6074049
26,2,0.008805065,9.531761,2.511554, 0.6074049
27,2,0.008805065,9.531761,2.511554, 0.6074049
28,2,0.008805065,9.531761,2.511554, 0.6074049
29,2,0.008805065,9.531761,2.511554, 0.6074049
30,2,0.008805065,9.531761,2.511554, 0.6074049
31,2,0.008805065,9.531761,2.511554, 0.6074049
32,2,0.008805065,9.531761,2.511554, 0.6074049
33,2,0.008805065,9.531761,2.511554, 0.6074049
34,2,0.008805065,9.531761,2.511554, 0.6074049
35,2,0.008805065,9.531761,2.511554, 0.6074049
36,2,0.008805065,9.531761,2.511554, 0.6074049
37,2,0.008805065,9.531761,2.511554, 0.6074049
38,2,0.008805065,9.531761,2.511554, 0.6074049
39,2,0.008805065,9.531761,2.511554, 0.6074049
40,2,0.008805065,9.531761,2.511554, 0.6074049
41,2,0.008805065,9.531761,2.511554, 0.6074049
42,2,0.008805065,9.531761,2.511554, 0.6074049
43,2,0.008805065,9.531761,2.511554, 0.6074049
44,2,0.008805065,9.531761,2.511554, 0.6074049
45,2,0.008805065,9.531761,2.511554, 0.6074049
46,2,0.008805065,9.531761,2.511554, 0.6074049
47,2,0.008805065,9.531761,2.511554, 0.6074049
48,2,0.008805065,9.531761,2.511554, 0.6074049
49,2,0.008805065,9.531761,2.511554, 0.6074049
50,2,0.008805065,9.531761,2.511554, 0.6074049
51,2,0.008805065,9.531761,2.511554, 0.6074049
52,2,0.008805065,9.531761,2.511554, 0.6074049
53,2,0.008805065,9.531761,2.511554, 0.6074049
54,2,0.008805065,9.531761,2.511554, 0.6074049
55,2,0.008805065,9.531761,2.511554, 0.6074049
56,2,0.008805065,9.531761,2.511554, 0.6074049
57,2,0.008805065,9.531761,2.511554, 0.6074049
58,2,0.008805065,9.531761,2.511554, 0.6074049
59,2,0.008805065,9.531761,2.511554, 0.6074049
60,2,0.008805065,9.531761,2.511554, 0.6074049
61,2,0.008805065,9.531761,2.511554, 0.6074049
62,2,0.008805065,9.531761,2.511554, 0.6074049
63,2,0.008805065,9.531761,2.511554, 0.6074049
64,2,0.008805065,9.531761,2.511554, 0.6074049
65,2,0.008805065,9.531761,2.511554, 0.6074049
66,2,0.008805065,9.531761,2.511554, 0.6074049
67,2,0.008805065,9.531761,2.511554, 0.6074049
68,2,0.008805065,9.531761,2.511554, 0.6074049
69,2,0.008805065,9.531761,2.511554, 0.6074049
70,2,0.008805065,9.531761,2.511554, 0.6074049
71,2,0.008805065,9.531761,2.511554, 0.6074049
72,2,0.008805065,9.531761,2.511554, 0.6074049
73,2,0.008805065,9.531761,2.511554, 0.6074049
74,2,0.008805065,9.531761,2.511554, 0.6074049
75,2,0.008805065,9.531761,2.511554, 0.6074049
76,2,0.008805065,9.531761,2.511554, 0.6074049
77,2,0.008805065,9.531761,2.511554, 0.6074049
78,2,0.008805065,9.531761,2.511554, 0.6074049
79,2,0.008805065,9.531761,2.511554, 0.6074049
80,2,0.008805065,9.531761,2.511554, 0.6074049
81,2,0.008805065,9.531761,2.511554, 0.6074049
82,2,0.008805065,9.531761,2.511554, 0.6074049
83,2,0.008805065,9.531761,2.511554, 0.6074049
84,2,0.008805065,9.531761,2.511554, 0.6074049
85,2,0.008805065,9.531761,2.511554, 0.6074049
86,2,0.008805065,9.531761,2.511554, 0.6074049
87,2,0.008805065,9.531761,2.511554, 0.6074049
88,2,0.008805065,9.531761,2.511554, 0.6074049
89,2,0.008805065,9.531761,2.511554, 0.6074049
90,2,0.008805065,9.531761,2.511554, 0.6074049
91,2,0.008805065,9.531761,2.511554, 0.6074049
92,2,0.008805065,9.531761,2.511554, 0.6074049
93,2,0.008805065,9.531761,2.511554, 0.6074049
94,2,0.008805065,9.531761,2.511554, 0.6074049
95,2,0.008805065,9.531761,2.511554, 0.6074049
96,2,0.008805065,9.531761,2.511554, 0.6074049
97,2,0.008805065,9.531761,2.511554, 0.6074049
98,2,0.008805065,9.531761,2.511554, 0.6074049
99,2,0.008805065,9.531761,2.511554, 0.6074049
100,2,0.008805065,9.531761,2.511554, 0.6074049
101,2,0.008805065,9.531761,2.511554, 0.6074049
102,2,0.008805065,9.531761,2.511554, 0.6074049
103,2,0.008805065,9.531761,2.511554, 0.6074049
104,2,0.008805065,9.531761,2.511554, 0.6074049
105,2,0.008805065,9.531761,2.511554, 0.6074049
106,2,0.008805065,9.531761,2.511554, 0.6074049
107,2,0.008805065,9.531761,2.511554, 0.6074049
108,2,0.008805065,9.531761,2.511554, 0.6074049
109,2,0.008805065,9.531761,2.511554, 0.6074049
110,2,0.008805065,9.531761,2.511554, 0.6074049
111,2,0.008805065,9.531761,2.511554, 0.6074049
112,2,0.008805065,9.531761,2.511554, 0.6074049
