Time,Population,Average Speed,Average Full, Average Smell Distance, Angle Change 
1,1,0.01,10,3, 0.5
2,2,0.007442599,11.05156,2.657929, 0.3920479
3,2,0.007442599,11.05156,2.657929, 0.3920479
4,2,0.007442599,11.05156,2.657929, 0.3920479
5,2,0.007442599,11.05156,2.657929, 0.3920479
6,2,0.007442599,11.05156,2.657929, 0.3920479
7,2,0.007442599,11.05156,2.657929, 0.3920479
8,2,0.007442599,11.05156,2.657929, 0.3920479
9,2,0.007442599,11.05156,2.657929, 0.3920479
10,2,0.007442599,11.05156,2.657929, 0.3920479
11,2,0.007442599,11.05156,2.657929, 0.3920479
12,2,0.007442599,11.05156,2.657929, 0.3920479
13,2,0.007442599,11.05156,2.657929, 0.3920479
14,2,0.007442599,11.05156,2.657929, 0.3920479
15,2,0.007442599,11.05156,2.657929, 0.3920479
16,2,0.007442599,11.05156,2.657929, 0.3920479
17,2,0.007442599,11.05156,2.657929, 0.3920479
18,2,0.007442599,11.05156,2.657929, 0.3920479
19,2,0.007442599,11.05156,2.657929, 0.3920479
20,2,0.007442599,11.05156,2.657929, 0.3920479
21,2,0.007442599,11.05156,2.657929, 0.3920479
22,2,0.007442599,11.05156,2.657929, 0.3920479
23,2,0.007442599,11.05156,2.657929, 0.3920479
24,2,0.007442599,11.05156,2.657929, 0.3920479
25,2,0.007442599,11.05156,2.657929, 0.3920479
26,2,0.007442599,11.05156,2.657929, 0.3920479
27,2,0.007442599,11.05156,2.657929, 0.3920479
28,2,0.007442599,11.05156,2.657929, 0.3920479
29,2,0.007442599,11.05156,2.657929, 0.3920479
30,2,0.007442599,11.05156,2.657929, 0.3920479
31,2,0.007442599,11.05156,2.657929, 0.3920479
32,2,0.007442599,11.05156,2.657929, 0.3920479
33,2,0.007442599,11.05156,2.657929, 0.3920479
34,2,0.007442599,11.05156,2.657929, 0.3920479
35,2,0.007442599,11.05156,2.657929, 0.3920479
36,2,0.007442599,11.05156,2.657929, 0.3920479
37,2,0.007442599,11.05156,2.657929, 0.3920479
38,2,0.007442599,11.05156,2.657929, 0.3920479
39,2,0.007442599,11.05156,2.657929, 0.3920479
40,2,0.007442599,11.05156,2.657929, 0.3920479
41,2,0.007442599,11.05156,2.657929, 0.3920479
42,2,0.007442599,11.05156,2.657929, 0.3920479
43,2,0.007442599,11.05156,2.657929, 0.3920479
44,2,0.007442599,11.05156,2.657929, 0.3920479
45,2,0.007442599,11.05156,2.657929, 0.3920479
46,2,0.007442599,11.05156,2.657929, 0.3920479
47,2,0.007442599,11.05156,2.657929, 0.3920479
48,2,0.007442599,11.05156,2.657929, 0.3920479
49,2,0.007442599,11.05156,2.657929, 0.3920479
50,2,0.007442599,11.05156,2.657929, 0.3920479
51,2,0.007442599,11.05156,2.657929, 0.3920479
52,2,0.007442599,11.05156,2.657929, 0.3920479
53,2,0.007442599,11.05156,2.657929, 0.3920479
54,2,0.007442599,11.05156,2.657929, 0.3920479
55,2,0.007442599,11.05156,2.657929, 0.3920479
56,2,0.007442599,11.05156,2.657929, 0.3920479
57,2,0.007442599,11.05156,2.657929, 0.3920479
58,2,0.007442599,11.05156,2.657929, 0.3920479
59,2,0.007442599,11.05156,2.657929, 0.3920479
60,2,0.007442599,11.05156,2.657929, 0.3920479
61,2,0.007442599,11.05156,2.657929, 0.3920479
62,2,0.007442599,11.05156,2.657929, 0.3920479
63,2,0.007442599,11.05156,2.657929, 0.3920479
64,2,0.007442599,11.05156,2.657929, 0.3920479
65,2,0.007442599,11.05156,2.657929, 0.3920479
66,2,0.007442599,11.05156,2.657929, 0.3920479
67,2,0.007442599,11.05156,2.657929, 0.3920479
68,2,0.007442599,11.05156,2.657929, 0.3920479
69,2,0.007442599,11.05156,2.657929, 0.3920479
70,2,0.007442599,11.05156,2.657929, 0.3920479
71,2,0.007442599,11.05156,2.657929, 0.3920479
72,2,0.007442599,11.05156,2.657929, 0.3920479
73,2,0.007442599,11.05156,2.657929, 0.3920479
74,2,0.007442599,11.05156,2.657929, 0.3920479
75,2,0.007442599,11.05156,2.657929, 0.3920479
76,2,0.007442599,11.05156,2.657929, 0.3920479
77,2,0.007442599,11.05156,2.657929, 0.3920479
78,2,0.007442599,11.05156,2.657929, 0.3920479
79,2,0.007442599,11.05156,2.657929, 0.3920479
80,2,0.007442599,11.05156,2.657929, 0.3920479
81,2,0.007442599,11.05156,2.657929, 0.3920479
82,2,0.007442599,11.05156,2.657929, 0.3920479
83,2,0.007442599,11.05156,2.657929, 0.3920479
84,2,0.007442599,11.05156,2.657929, 0.3920479
85,2,0.007442599,11.05156,2.657929, 0.3920479
86,2,0.007442599,11.05156,2.657929, 0.3920479
87,2,0.007442599,11.05156,2.657929, 0.3920479
88,2,0.007442599,11.05156,2.657929, 0.3920479
89,2,0.007442599,11.05156,2.657929, 0.3920479
90,2,0.007442599,11.05156,2.657929, 0.3920479
91,2,0.007442599,11.05156,2.657929, 0.3920479
92,2,0.007442599,11.05156,2.657929, 0.3920479
93,2,0.007442599,11.05156,2.657929, 0.3920479
94,2,0.007442599,11.05156,2.657929, 0.3920479
95,2,0.007442599,11.05156,2.657929, 0.3920479
96,2,0.007442599,11.05156,2.657929, 0.3920479
97,2,0.007442599,11.05156,2.657929, 0.3920479
98,2,0.007442599,11.05156,2.657929, 0.3920479
99,2,0.007442599,11.05156,2.657929, 0.3920479
100,2,0.007442599,11.05156,2.657929, 0.3920479
101,2,0.007442599,11.05156,2.657929, 0.3920479
102,2,0.007442599,11.05156,2.657929, 0.3920479
103,2,0.007442599,11.05156,2.657929, 0.3920479
104,2,0.007442599,11.05156,2.657929, 0.3920479
105,2,0.007442599,11.05156,2.657929, 0.3920479
106,2,0.007442599,11.05156,2.657929, 0.3920479
107,2,0.007442599,11.05156,2.657929, 0.3920479
108,2,0.007442599,11.05156,2.657929, 0.3920479
109,2,0.007442599,11.05156,2.657929, 0.3920479
110,2,0.007442599,11.05156,2.657929, 0.3920479
111,2,0.007442599,11.05156,2.657929, 0.3920479
112,2,0.007442599,11.05156,2.657929, 0.3920479
113,2,0.007442599,11.05156,2.657929, 0.3920479
114,2,0.007442599,11.05156,2.657929, 0.3920479
115,2,0.007442599,11.05156,2.657929, 0.3920479
116,2,0.007442599,11.05156,2.657929, 0.3920479
117,2,0.007442599,11.05156,2.657929, 0.3920479
118,2,0.007442599,11.05156,2.657929, 0.3920479
119,2,0.007442599,11.05156,2.657929, 0.3920479
120,2,0.007442599,11.05156,2.657929, 0.3920479
121,2,0.007442599,11.05156,2.657929, 0.3920479
122,2,0.007442599,11.05156,2.657929, 0.3920479
123,2,0.007442599,11.05156,2.657929, 0.3920479
124,2,0.007442599,11.05156,2.657929, 0.3920479
125,2,0.007442599,11.05156,2.657929, 0.3920479
126,2,0.007442599,11.05156,2.657929, 0.3920479
127,2,0.007442599,11.05156,2.657929, 0.3920479
128,2,0.007442599,11.05156,2.657929, 0.3920479
129,2,0.007442599,11.05156,2.657929, 0.3920479
130,2,0.007442599,11.05156,2.657929, 0.3920479
131,2,0.007442599,11.05156,2.657929, 0.3920479
132,2,0.007442599,11.05156,2.657929, 0.3920479
133,2,0.007442599,11.05156,2.657929, 0.3920479
134,2,0.007442599,11.05156,2.657929, 0.3920479
135,2,0.007442599,11.05156,2.657929, 0.3920479
136,2,0.007442599,11.05156,2.657929, 0.3920479
137,2,0.007442599,11.05156,2.657929, 0.3920479
138,2,0.007442599,11.05156,2.657929, 0.3920479
139,2,0.007442599,11.05156,2.657929, 0.3920479
140,2,0.007442599,11.05156,2.657929, 0.3920479
141,2,0.007442599,11.05156,2.657929, 0.3920479
142,2,0.007442599,11.05156,2.657929, 0.3920479
143,2,0.007442599,11.05156,2.657929, 0.3920479
144,2,0.007442599,11.05156,2.657929, 0.3920479
145,2,0.007442599,11.05156,2.657929, 0.3920479
146,2,0.007442599,11.05156,2.657929, 0.3920479
147,2,0.007442599,11.05156,2.657929, 0.3920479
148,2,0.007442599,11.05156,2.657929, 0.3920479
149,2,0.007442599,11.05156,2.657929, 0.3920479
150,2,0.007442599,11.05156,2.657929, 0.3920479
151,2,0.007442599,11.05156,2.657929, 0.3920479
152,2,0.007442599,11.05156,2.657929, 0.3920479
153,2,0.007442599,11.05156,2.657929, 0.3920479
154,2,0.007442599,11.05156,2.657929, 0.3920479
155,2,0.007442599,11.05156,2.657929, 0.3920479
156,2,0.007442599,11.05156,2.657929, 0.3920479
157,2,0.007442599,11.05156,2.657929, 0.3920479
158,2,0.007442599,11.05156,2.657929, 0.3920479
159,2,0.007442599,11.05156,2.657929, 0.3920479
160,2,0.007442599,11.05156,2.657929, 0.3920479
161,2,0.007442599,11.05156,2.657929, 0.3920479
162,2,0.007442599,11.05156,2.657929, 0.3920479
163,2,0.007442599,11.05156,2.657929, 0.3920479
164,2,0.007442599,11.05156,2.657929, 0.3920479
165,2,0.007442599,11.05156,2.657929, 0.3920479
166,2,0.007442599,11.05156,2.657929, 0.3920479
167,2,0.007442599,11.05156,2.657929, 0.3920479
168,2,0.007442599,11.05156,2.657929, 0.3920479
169,2,0.007442599,11.05156,2.657929, 0.3920479
170,2,0.007442599,11.05156,2.657929, 0.3920479
171,2,0.007442599,11.05156,2.657929, 0.3920479
172,2,0.007442599,11.05156,2.657929, 0.3920479
173,2,0.007442599,11.05156,2.657929, 0.3920479
174,2,0.007442599,11.05156,2.657929, 0.3920479
175,2,0.007442599,11.05156,2.657929, 0.3920479
176,2,0.007442599,11.05156,2.657929, 0.3920479
177,2,0.007442599,11.05156,2.657929, 0.3920479
178,2,0.007442599,11.05156,2.657929, 0.3920479
179,2,0.007442599,11.05156,2.657929, 0.3920479
180,2,0.007442599,11.05156,2.657929, 0.3920479
181,2,0.007442599,11.05156,2.657929, 0.3920479
182,2,0.007442599,11.05156,2.657929, 0.3920479
183,2,0.007442599,11.05156,2.657929, 0.3920479
184,2,0.007442599,11.05156,2.657929, 0.3920479
185,2,0.007442599,11.05156,2.657929, 0.3920479
186,2,0.007442599,11.05156,2.657929, 0.3920479
187,2,0.007442599,11.05156,2.657929, 0.3920479
188,2,0.007442599,11.05156,2.657929, 0.3920479
189,2,0.007442599,11.05156,2.657929, 0.3920479
190,2,0.007442599,11.05156,2.657929, 0.3920479
191,2,0.007442599,11.05156,2.657929, 0.3920479
