Time,Population,Average Speed,Average Full, Average Smell Distance, Angle Change 
1,1,0.01,10,3, 0.5
2,2,0.009030659,8.738412,2.865671, 0.5458167
3,2,0.009030659,8.738412,2.865671, 0.5458167
4,2,0.009030659,8.738412,2.865671, 0.5458167
5,2,0.009030659,8.738412,2.865671, 0.5458167
6,2,0.009030659,8.738412,2.865671, 0.5458167
7,2,0.009030659,8.738412,2.865671, 0.5458167
8,2,0.009030659,8.738412,2.865671, 0.5458167
9,2,0.009030659,8.738412,2.865671, 0.5458167
10,2,0.009030659,8.738412,2.865671, 0.5458167
11,2,0.009030659,8.738412,2.865671, 0.5458167
12,2,0.009030659,8.738412,2.865671, 0.5458167
13,2,0.009030659,8.738412,2.865671, 0.5458167
14,2,0.009030659,8.738412,2.865671, 0.5458167
15,2,0.009030659,8.738412,2.865671, 0.5458167
16,2,0.009030659,8.738412,2.865671, 0.5458167
17,2,0.009030659,8.738412,2.865671, 0.5458167
18,2,0.009030659,8.738412,2.865671, 0.5458167
19,2,0.009030659,8.738412,2.865671, 0.5458167
20,2,0.009030659,8.738412,2.865671, 0.5458167
21,2,0.009030659,8.738412,2.865671, 0.5458167
22,2,0.009030659,8.738412,2.865671, 0.5458167
23,2,0.009030659,8.738412,2.865671, 0.5458167
24,2,0.009030659,8.738412,2.865671, 0.5458167
25,2,0.009030659,8.738412,2.865671, 0.5458167
26,2,0.009030659,8.738412,2.865671, 0.5458167
27,2,0.009030659,8.738412,2.865671, 0.5458167
28,2,0.009030659,8.738412,2.865671, 0.5458167
29,2,0.009030659,8.738412,2.865671, 0.5458167
30,2,0.009030659,8.738412,2.865671, 0.5458167
31,2,0.009030659,8.738412,2.865671, 0.5458167
32,2,0.009030659,8.738412,2.865671, 0.5458167
33,2,0.009030659,8.738412,2.865671, 0.5458167
34,2,0.009030659,8.738412,2.865671, 0.5458167
35,2,0.009030659,8.738412,2.865671, 0.5458167
36,2,0.009030659,8.738412,2.865671, 0.5458167
37,2,0.009030659,8.738412,2.865671, 0.5458167
38,2,0.009030659,8.738412,2.865671, 0.5458167
39,2,0.009030659,8.738412,2.865671, 0.5458167
40,2,0.009030659,8.738412,2.865671, 0.5458167
41,2,0.009030659,8.738412,2.865671, 0.5458167
42,2,0.009030659,8.738412,2.865671, 0.5458167
43,2,0.009030659,8.738412,2.865671, 0.5458167
44,2,0.009030659,8.738412,2.865671, 0.5458167
45,2,0.009030659,8.738412,2.865671, 0.5458167
46,2,0.009030659,8.738412,2.865671, 0.5458167
47,2,0.009030659,8.738412,2.865671, 0.5458167
48,2,0.009030659,8.738412,2.865671, 0.5458167
49,2,0.009030659,8.738412,2.865671, 0.5458167
