Time,Population,Average Speed,Average Full, Average Smell Distance, Angle Change 
1,1,0.01,10,3, 0.5
2,2,0.01370653,11.24097,3.300251, 0.4037483
3,2,0.01370653,11.24097,3.300251, 0.4037483
4,2,0.01370653,11.24097,3.300251, 0.4037483
5,2,0.01370653,11.24097,3.300251, 0.4037483
6,2,0.01370653,11.24097,3.300251, 0.4037483
7,2,0.01370653,11.24097,3.300251, 0.4037483
8,2,0.01370653,11.24097,3.300251, 0.4037483
9,2,0.01370653,11.24097,3.300251, 0.4037483
10,2,0.01370653,11.24097,3.300251, 0.4037483
11,2,0.01370653,11.24097,3.300251, 0.4037483
12,2,0.01370653,11.24097,3.300251, 0.4037483
13,2,0.01370653,11.24097,3.300251, 0.4037483
14,2,0.01370653,11.24097,3.300251, 0.4037483
15,2,0.01370653,11.24097,3.300251, 0.4037483
16,2,0.01370653,11.24097,3.300251, 0.4037483
17,2,0.01370653,11.24097,3.300251, 0.4037483
18,2,0.01370653,11.24097,3.300251, 0.4037483
19,2,0.01370653,11.24097,3.300251, 0.4037483
20,2,0.01370653,11.24097,3.300251, 0.4037483
21,2,0.01370653,11.24097,3.300251, 0.4037483
22,2,0.01370653,11.24097,3.300251, 0.4037483
23,2,0.01370653,11.24097,3.300251, 0.4037483
24,2,0.01370653,11.24097,3.300251, 0.4037483
25,2,0.01370653,11.24097,3.300251, 0.4037483
26,2,0.01370653,11.24097,3.300251, 0.4037483
27,2,0.01370653,11.24097,3.300251, 0.4037483
28,2,0.01370653,11.24097,3.300251, 0.4037483
29,2,0.01370653,11.24097,3.300251, 0.4037483
30,2,0.01370653,11.24097,3.300251, 0.4037483
31,2,0.01370653,11.24097,3.300251, 0.4037483
32,2,0.01370653,11.24097,3.300251, 0.4037483
