Time,Population,Average Speed,Average Full, Average Smell Distance, Angle Change 
1,1,0.01,10,3, 0.5
2,2,0.00820509,9.694867,3.492924, 0.5642338
3,2,0.00820509,9.694867,3.492924, 0.5642338
4,2,0.00820509,9.694867,3.492924, 0.5642338
5,2,0.00820509,9.694867,3.492924, 0.5642338
6,2,0.00820509,9.694867,3.492924, 0.5642338
7,2,0.00820509,9.694867,3.492924, 0.5642338
8,2,0.00820509,9.694867,3.492924, 0.5642338
9,2,0.00820509,9.694867,3.492924, 0.5642338
10,2,0.00820509,9.694867,3.492924, 0.5642338
11,2,0.00820509,9.694867,3.492924, 0.5642338
12,2,0.00820509,9.694867,3.492924, 0.5642338
13,2,0.00820509,9.694867,3.492924, 0.5642338
14,2,0.00820509,9.694867,3.492924, 0.5642338
15,2,0.00820509,9.694867,3.492924, 0.5642338
16,2,0.00820509,9.694867,3.492924, 0.5642338
17,2,0.00820509,9.694867,3.492924, 0.5642338
18,2,0.00820509,9.694867,3.492924, 0.5642338
19,2,0.00820509,9.694867,3.492924, 0.5642338
20,2,0.00820509,9.694867,3.492924, 0.5642338
21,2,0.00820509,9.694867,3.492924, 0.5642338
22,2,0.00820509,9.694867,3.492924, 0.5642338
23,2,0.00820509,9.694867,3.492924, 0.5642338
24,2,0.00820509,9.694867,3.492924, 0.5642338
25,2,0.00820509,9.694867,3.492924, 0.5642338
26,2,0.00820509,9.694867,3.492924, 0.5642338
27,2,0.00820509,9.694867,3.492924, 0.5642338
28,2,0.00820509,9.694867,3.492924, 0.5642338
29,2,0.00820509,9.694867,3.492924, 0.5642338
30,2,0.00820509,9.694867,3.492924, 0.5642338
31,2,0.00820509,9.694867,3.492924, 0.5642338
32,2,0.00820509,9.694867,3.492924, 0.5642338
33,2,0.00820509,9.694867,3.492924, 0.5642338
34,2,0.00820509,9.694867,3.492924, 0.5642338
35,2,0.00820509,9.694867,3.492924, 0.5642338
36,2,0.00820509,9.694867,3.492924, 0.5642338
37,2,0.00820509,9.694867,3.492924, 0.5642338
38,2,0.00820509,9.694867,3.492924, 0.5642338
39,2,0.00820509,9.694867,3.492924, 0.5642338
40,2,0.00820509,9.694867,3.492924, 0.5642338
41,2,0.00820509,9.694867,3.492924, 0.5642338
42,2,0.00820509,9.694867,3.492924, 0.5642338
43,2,0.00820509,9.694867,3.492924, 0.5642338
44,2,0.00820509,9.694867,3.492924, 0.5642338
45,2,0.00820509,9.694867,3.492924, 0.5642338
46,2,0.00820509,9.694867,3.492924, 0.5642338
47,2,0.00820509,9.694867,3.492924, 0.5642338
48,2,0.00820509,9.694867,3.492924, 0.5642338
49,2,0.00820509,9.694867,3.492924, 0.5642338
50,2,0.00820509,9.694867,3.492924, 0.5642338
