Plant ID,Birth Time,Death Time,Life Time,Generation,Growth Rate
0,0,1016,1016,0,0.001666667
1,0,-1,-1,0,0.001666667
2,0,-1,-1,0,0.001666667
3,0,109,109,0,0.001666667
4,0,-1,-1,0,0.001666667
5,0,-1,-1,0,0.001666667
6,0,-1,-1,0,0.001666667
7,0,231,231,0,0.001666667
8,0,1104,1104,0,0.001666667
9,0,1233,1233,0,0.001666667
10,0,-1,-1,0,0.001666667
11,0,-1,-1,0,0.001666667
12,0,-1,-1,0,0.001666667
13,0,443,443,0,0.001666667
14,0,-1,-1,0,0.001666667
15,0,-1,-1,0,0.001666667
16,0,-1,-1,0,0.001666667
17,0,1105,1105,0,0.001666667
18,0,1217,1217,0,0.001666667
19,0,-1,-1,0,0.001666667
20,0,1650,1650,0,0.001666667
21,0,682,682,0,0.001666667
22,0,1752,1752,0,0.001666667
23,0,-1,-1,0,0.001666667
24,0,-1,-1,0,0.001666667
25,9,-1,-1,1,0.00129199
26,42,-1,-1,1,0.001510574
27,47,579,532,1,0.00330033
28,66,1626,1560,1,0.001960784
29,86,-1,-1,1,0.001129944
30,95,337,242,1,0.002105263
31,135,-1,-1,1,0.001536098
32,157,-1,-1,1,0.00203252
33,161,-1,-1,1,0.003184713
34,214,-1,-1,1,0.00140056
35,216,-1,-1,1,0.001658375
36,248,-1,-1,1,0.001283697
37,275,-1,-1,1,0.002754821
38,311,1366,1055,1,0.001464129
39,334,-1,-1,1,0.002538071
40,477,-1,-1,1,0.001472754
41,513,-1,-1,1,0.002358491
42,603,-1,-1,1,0.002724796
43,616,-1,-1,2,0.001261034
44,633,-1,-1,1,0.001135074
45,650,-1,-1,2,0.002724796
46,651,755,104,1,0.001745201
47,660,-1,-1,2,0.001428571
48,685,-1,-1,2,0.001191895
49,739,-1,-1,2,0.001492537
50,764,-1,-1,1,0.002666667
51,765,-1,-1,1,0.00131579
52,807,-1,-1,2,0.002493766
53,811,-1,-1,2,0.001886792
54,848,-1,-1,2,0.001335114
55,877,-1,-1,1,0.001468429
56,881,-1,-1,2,0.003021148
57,915,1483,568,2,0.002293578
58,941,-1,-1,1,0.002207506
59,1081,-1,-1,1,0.001972387
60,1098,-1,-1,1,0.001206273
61,1105,-1,-1,1,0.002347418
62,1163,-1,-1,3,0.001650165
63,1231,-1,-1,1,0.003030303
64,1233,-1,-1,2,0.001090512
65,1235,-1,-1,2,0.002074689
66,1242,-1,-1,3,0.003649635
67,1247,-1,-1,2,0.001631321
68,1260,1567,307,1,0.001140251
69,1297,1759,462,1,0.001801802
70,1334,-1,-1,2,0.003378378
71,1360,-1,-1,1,0.001838235
72,1365,-1,-1,2,0.002570694
73,1374,-1,-1,1,0.002004008
74,1396,-1,-1,3,0.001180638
75,1406,-1,-1,3,0.00243309
76,1526,-1,-1,3,0.001869159
77,1576,-1,-1,2,0.001626016
78,1579,-1,-1,4,0.003731343
79,1583,-1,-1,3,0.00340136
80,1601,-1,-1,3,0.001572327
81,1621,-1,-1,2,0.001008064
82,1632,-1,-1,3,0.001633987
83,1667,-1,-1,1,0.001845018
84,1673,-1,-1,1,0.001897533
85,1692,-1,-1,2,0.003676471
86,1698,-1,-1,2,0.004366812
87,1719,-1,-1,2,0.001972387
