Time,Population,Average Speed,Average Full, Average Smell Distance, Angle Change 
1,1,0.01,10,3, 0.5
2,2,0.008359412,12.0121,3.597137, 0.5243236
3,2,0.008359412,12.0121,3.597137, 0.5243236
4,2,0.008359412,12.0121,3.597137, 0.5243236
5,2,0.008359412,12.0121,3.597137, 0.5243236
6,2,0.008359412,12.0121,3.597137, 0.5243236
7,2,0.008359412,12.0121,3.597137, 0.5243236
8,2,0.008359412,12.0121,3.597137, 0.5243236
9,2,0.008359412,12.0121,3.597137, 0.5243236
10,2,0.008359412,12.0121,3.597137, 0.5243236
11,2,0.008359412,12.0121,3.597137, 0.5243236
12,2,0.008359412,12.0121,3.597137, 0.5243236
13,2,0.008359412,12.0121,3.597137, 0.5243236
14,2,0.008359412,12.0121,3.597137, 0.5243236
15,2,0.008359412,12.0121,3.597137, 0.5243236
16,2,0.008359412,12.0121,3.597137, 0.5243236
17,2,0.008359412,12.0121,3.597137, 0.5243236
18,2,0.008359412,12.0121,3.597137, 0.5243236
19,2,0.008359412,12.0121,3.597137, 0.5243236
20,2,0.008359412,12.0121,3.597137, 0.5243236
21,2,0.008359412,12.0121,3.597137, 0.5243236
22,2,0.008359412,12.0121,3.597137, 0.5243236
23,2,0.008359412,12.0121,3.597137, 0.5243236
24,2,0.008359412,12.0121,3.597137, 0.5243236
25,2,0.008359412,12.0121,3.597137, 0.5243236
26,2,0.008359412,12.0121,3.597137, 0.5243236
27,2,0.008359412,12.0121,3.597137, 0.5243236
28,2,0.008359412,12.0121,3.597137, 0.5243236
29,2,0.008359412,12.0121,3.597137, 0.5243236
30,2,0.008359412,12.0121,3.597137, 0.5243236
31,2,0.008359412,12.0121,3.597137, 0.5243236
32,2,0.008359412,12.0121,3.597137, 0.5243236
33,2,0.008359412,12.0121,3.597137, 0.5243236
34,2,0.008359412,12.0121,3.597137, 0.5243236
35,2,0.008359412,12.0121,3.597137, 0.5243236
36,2,0.008359412,12.0121,3.597137, 0.5243236
37,2,0.008359412,12.0121,3.597137, 0.5243236
38,2,0.008359412,12.0121,3.597137, 0.5243236
39,2,0.008359412,12.0121,3.597137, 0.5243236
40,2,0.008359412,12.0121,3.597137, 0.5243236
41,2,0.008359412,12.0121,3.597137, 0.5243236
42,2,0.008359412,12.0121,3.597137, 0.5243236
