Time,Population,Average Speed,Average Full, Average Smell Distance, Angle Change 
1,1,0.01,10,3, 0.5
2,2,0.008095935,8.207482,3.550467, 0.6155881
3,2,0.008095935,8.207482,3.550467, 0.6155881
4,2,0.008095935,8.207482,3.550467, 0.6155881
5,2,0.008095935,8.207482,3.550467, 0.6155881
6,2,0.008095935,8.207482,3.550467, 0.6155881
7,2,0.008095935,8.207482,3.550467, 0.6155881
8,2,0.008095935,8.207482,3.550467, 0.6155881
9,2,0.008095935,8.207482,3.550467, 0.6155881
10,2,0.008095935,8.207482,3.550467, 0.6155881
11,2,0.008095935,8.207482,3.550467, 0.6155881
12,2,0.008095935,8.207482,3.550467, 0.6155881
13,2,0.008095935,8.207482,3.550467, 0.6155881
14,2,0.008095935,8.207482,3.550467, 0.6155881
15,2,0.008095935,8.207482,3.550467, 0.6155881
16,2,0.008095935,8.207482,3.550467, 0.6155881
17,2,0.008095935,8.207482,3.550467, 0.6155881
18,2,0.008095935,8.207482,3.550467, 0.6155881
19,2,0.008095935,8.207482,3.550467, 0.6155881
20,2,0.008095935,8.207482,3.550467, 0.6155881
21,2,0.008095935,8.207482,3.550467, 0.6155881
22,2,0.008095935,8.207482,3.550467, 0.6155881
23,2,0.008095935,8.207482,3.550467, 0.6155881
24,2,0.008095935,8.207482,3.550467, 0.6155881
25,2,0.008095935,8.207482,3.550467, 0.6155881
26,2,0.008095935,8.207482,3.550467, 0.6155881
27,2,0.008095935,8.207482,3.550467, 0.6155881
28,2,0.008095935,8.207482,3.550467, 0.6155881
29,2,0.008095935,8.207482,3.550467, 0.6155881
30,2,0.008095935,8.207482,3.550467, 0.6155881
31,2,0.008095935,8.207482,3.550467, 0.6155881
32,2,0.008095935,8.207482,3.550467, 0.6155881
33,2,0.008095935,8.207482,3.550467, 0.6155881
34,2,0.008095935,8.207482,3.550467, 0.6155881
35,2,0.008095935,8.207482,3.550467, 0.6155881
36,2,0.008095935,8.207482,3.550467, 0.6155881
37,2,0.008095935,8.207482,3.550467, 0.6155881
38,2,0.008095935,8.207482,3.550467, 0.6155881
39,2,0.008095935,8.207482,3.550467, 0.6155881
40,2,0.008095935,8.207482,3.550467, 0.6155881
41,2,0.008095935,8.207482,3.550467, 0.6155881
42,2,0.008095935,8.207482,3.550467, 0.6155881
43,2,0.008095935,8.207482,3.550467, 0.6155881
44,2,0.008095935,8.207482,3.550467, 0.6155881
45,2,0.008095935,8.207482,3.550467, 0.6155881
46,2,0.008095935,8.207482,3.550467, 0.6155881
47,2,0.008095935,8.207482,3.550467, 0.6155881
48,2,0.008095935,8.207482,3.550467, 0.6155881
49,2,0.008095935,8.207482,3.550467, 0.6155881
50,2,0.008095935,8.207482,3.550467, 0.6155881
51,2,0.008095935,8.207482,3.550467, 0.6155881
52,2,0.008095935,8.207482,3.550467, 0.6155881
53,2,0.008095935,8.207482,3.550467, 0.6155881
54,2,0.008095935,8.207482,3.550467, 0.6155881
55,2,0.008095935,8.207482,3.550467, 0.6155881
56,2,0.008095935,8.207482,3.550467, 0.6155881
57,2,0.008095935,8.207482,3.550467, 0.6155881
58,2,0.008095935,8.207482,3.550467, 0.6155881
59,2,0.008095935,8.207482,3.550467, 0.6155881
60,2,0.008095935,8.207482,3.550467, 0.6155881
61,2,0.008095935,8.207482,3.550467, 0.6155881
62,2,0.008095935,8.207482,3.550467, 0.6155881
