Add|| Speed0.01524223; Full 6.423285; smell4.341341
Add|| Speed0.02332965; Full 4.058486; smell2.759345
Remove|| Speed0.02332965; Full 4.058486; smell2.759345
Remove|| Speed0.01; Full 10; smell3
Add|| Speed0.00773666; Full 8.270962; smell3.394486
Add|| Speed0.01258308; Full 9.265339; smell3.623194
Remove|| Speed0.00773666; Full 8.270962; smell3.394486
Remove|| Speed0.01524223; Full 6.423285; smell4.341341
Add|| Speed0.01243421; Full 8.320322; smell4.546044
Add|| Speed0.01085715; Full 8.015697; smell3.599637
Remove|| Speed0.01243421; Full 8.320322; smell4.546044
Add|| Speed0.01527266; Full 11.76198; smell5.22176
Add|| Speed0.01148609; Full 11.67752; smell3.088488
Add|| Speed0.01071427; Full 13.52531; smell4.543506
Add|| Speed0.008679399; Full 10.13396; smell4.245859
Add|| Speed0.007833691; Full 13.01168; smell1.881335
Add|| Speed0.0100816; Full 9.18903; smell4.443686
Add|| Speed0.01978289; Full 8.567926; smell4.502865
Add|| Speed0.01768474; Full 6.366649; smell2.661751
Add|| Speed0.02749005; Full 4.183704; smell3.664552
Add|| Speed0.01782938; Full 5.716561; smell4.824287
Add|| Speed0.04580347; Full 4.39452; smell5.3241
Add|| Speed0.06315418; Full 5.438179; smell2.94448
Add|| Speed0.09111564; Full 7.514156; smell2.928092
Add|| Speed0.07969196; Full 2.643625; smell6.587387
Add|| Speed0.09815259; Full 3.501444; smell2.786154
Add|| Speed0.09078164; Full 1.570404; smell4.310832
Add|| Speed0.1727595; Full 1.3659; smell5.298384
Add|| Speed0.1835078; Full 1.55195; smell4.881871
Add|| Speed0.07161523; Full 2.121811; smell3.306044
Add|| Speed0.2990201; Full 0.8336974; smell4.75954
Add|| Speed0.3145216; Full 0.5758966; smell6.342874
Add|| Speed0.1002578; Full 3.959908; smell3.098832
Add|| Speed0.3932895; Full 0.715488; smell3.534244
Add|| Speed0.5502008; Full 0.4882171; smell2.993234
Add|| Speed0.06537843; Full 1.280835; smell6.138433
Add|| Speed0.1330077; Full 0.8205502; smell6.872859
Add|| Speed0.1737399; Full 0.6021496; smell4.601881
Add|| Speed0.1801392; Full 1.712261; smell4.819018
Add|| Speed0.0571873; Full 0.74472; smell6.481853
Add|| Speed0.08443704; Full 0.8117561; smell6.746922
Add|| Speed0.08856587; Full 1.275042; smell4.744933
Add|| Speed0.09342048; Full 0.4483505; smell9.036956
Add|| Speed0.1562621; Full 0.4628855; smell6.430162
Add|| Speed0.2654523; Full 0.6881193; smell3.72582
Add|| Speed0.1922139; Full 0.7604961; smell2.394251
Add|| Speed0.04126023; Full 1.222445; smell4.295373
Add|| Speed0.1615934; Full 0.9659163; smell5.212991
Add|| Speed0.1329853; Full 3.631029; smell2.656744
Add|| Speed0.2972001; Full 1.734249; smell2.98607
Add|| Speed0.1382892; Full 10.53813; smell2.127852
Add|| Speed0.1155641; Full 1.025041; smell3.20804
Add|| Speed0.0914995; Full 1.098202; smell7.243197
Add|| Speed0.1674511; Full 0.8897405; smell6.311564
Add|| Speed0.08304101; Full 2.322249; smell3.918214
Add|| Speed0.1915172; Full 0.4423242; smell5.87268
Add|| Speed0.05885456; Full 3.573104; smell2.834154
Add|| Speed0.2264287; Full 1.926222; smell5.913094
Add|| Speed0.2139904; Full 0.7497234; smell2.868547
Add|| Speed0.0932394; Full 0.9759552; smell3.247752
Add|| Speed0.04509692; Full 0.4363396; smell5.143528
Add|| Speed0.1734158; Full 0.5603243; smell1.80422
Add|| Speed0.2437988; Full 0.4771492; smell1.7434
Add|| Speed0.05211639; Full 1.028837; smell9.453609
Add|| Speed0.09446431; Full 0.4105442; smell4.424555
Add|| Speed0.182093; Full 1.091008; smell7.580317
Add|| Speed0.05615541; Full 0.5184612; smell3.6115
Add|| Speed0.05800345; Full 2.152108; smell3.903667
Add|| Speed0.07020073; Full 1.606449; smell4.919817
Add|| Speed0.2475201; Full 0.6385819; smell6.054195
Add|| Speed0.05498991; Full 0.5351093; smell3.293399
Add|| Speed0.06680673; Full 1.696; smell4.56189
Add|| Speed0.1715359; Full 0.9834596; smell2.983449
Add|| Speed0.132905; Full 0.7769116; smell7.428311
Add|| Speed0.04837467; Full 0.4297493; smell3.168508
Add|| Speed0.1121524; Full 1.109148; smell9.275076
Add|| Speed0.1444039; Full 2.113629; smell6.174105
Add|| Speed0.09710063; Full 0.7838409; smell4.452487
Add|| Speed0.04213313; Full 0.6088544; smell4.723817
Add|| Speed0.1849963; Full 0.8113302; smell5.641026
Add|| Speed0.05813454; Full 0.4254502; smell3.164104
Add|| Speed0.06553736; Full 0.6193345; smell5.504192
Add|| Speed0.3527323; Full 0.9441066; smell4.255276
Add|| Speed0.3844254; Full 1.132158; smell1.476359
Add|| Speed0.09277733; Full 0.6077266; smell4.000943
Add|| Speed0.02368344; Full 0.3234957; smell5.162882
Add|| Speed0.07009837; Full 1.586536; smell3.608804
Add|| Speed0.03300167; Full 0.371321; smell2.136081
Add|| Speed0.03521041; Full 0.4807231; smell5.931555
Add|| Speed0.008782054; Full 0.3625429; smell6.864208
Add|| Speed0.05043281; Full 2.630589; smell3.633141
Add|| Speed0.1185123; Full 0.8557522; smell5.557794
Add|| Speed0.3215491; Full 0.8925592; smell3.846408
Add|| Speed0.08069262; Full 0.603823; smell6.840714
Add|| Speed0.1875811; Full 5.022616; smell3.003816
Add|| Speed0.1066233; Full 0.3332075; smell5.912835
Add|| Speed0.2059266; Full 0.6243847; smell11.67314
Add|| Speed0.06653069; Full 0.605865; smell3.966389
Add|| Speed0.05613942; Full 1.091891; smell3.643339
Add|| Speed0.07745846; Full 1.113057; smell6.094008
Add|| Speed0.3793456; Full 0.711772; smell2.136931
Add|| Speed0.09328347; Full 1.049087; smell4.660488
Add|| Speed0.05221869; Full 1.180569; smell4.902071
Add|| Speed0.2135092; Full 0.8288103; smell1.959998
Add|| Speed0.4300156; Full 0.9768735; smell2.894272
Add|| Speed0.2922117; Full 1.019768; smell3.157453
Add|| Speed0.3063809; Full 0.5132197; smell2.480129
Add|| Speed0.1236818; Full 0.7952468; smell8.858856
Add|| Speed0.1450012; Full 0.6032527; smell3.497227
Add|| Speed0.1431754; Full 0.9903067; smell6.704687
Add|| Speed0.4644592; Full 0.4939481; smell2.825363
Add|| Speed0.07744589; Full 1.129501; smell6.896049
Add|| Speed0.1432548; Full 1.489902; smell4.602376
Add|| Speed0.0898838; Full 4.412002; smell2.788803
